step,mode,top_k,seed,train_loss,val_loss,mean_selected_gate,gate_entropy,softmax_entropy,expert_0_selected_count,expert_0_selected_cumulative,expert_0_mean_gate,expert_0_grad_raw,expert_0_grad_preconditioned,expert_1_selected_count,expert_1_selected_cumulative,expert_1_mean_gate,expert_1_grad_raw,expert_1_grad_preconditioned,expert_2_selected_count,expert_2_selected_cumulative,expert_2_mean_gate,expert_2_grad_raw,expert_2_grad_preconditioned,expert_3_selected_count,expert_3_selected_cumulative,expert_3_mean_gate,expert_3_grad_raw,expert_3_grad_preconditioned,expert_4_selected_count,expert_4_selected_cumulative,expert_4_mean_gate,expert_4_grad_raw,expert_4_grad_preconditioned,expert_5_selected_count,expert_5_selected_cumulative,expert_5_mean_gate,expert_5_grad_raw,expert_5_grad_preconditioned,expert_6_selected_count,expert_6_selected_cumulative,expert_6_mean_gate,expert_6_grad_raw,expert_6_grad_preconditioned,expert_7_selected_count,expert_7_selected_cumulative,expert_7_mean_gate,expert_7_grad_raw,expert_7_grad_preconditioned
1,riemannian,8,4,0.6977916955947876,0.8889155983924866,0.1249999925494194,2.0726771354675293,2.0726771354675293,64,64,0.1244671493768692,0.039164572954177856,0.037560805678367615,64,64,0.1227809265255928,0.036845386028289795,0.03921084851026535,64,64,0.1190948337316513,0.022987447679042816,0.03297886997461319,64,64,0.1328163594007492,0.03579767420887947,0.0497235506772995,64,64,0.12064401805400848,0.026716383174061775,0.03216062858700752,64,64,0.12500408291816711,0.029270300641655922,0.031710173934698105,64,64,0.1283678561449051,0.030388735234737396,0.042573072016239166,64,64,0.1268247663974762,0.03712787106633186,0.04028349742293358
20,riemannian,8,4,0.9748425483703613,0.8736361265182495,0.125,2.0739312171936035,2.0739312171936035,64,1280,0.1248064860701561,0.04034966975450516,0.2382631152868271,64,1280,0.12213385850191116,0.042510949075222015,0.21125556528568268,64,1280,0.1180293932557106,0.026836704462766647,0.2501368224620819,64,1280,0.13123515248298645,0.04435776546597481,0.24602429568767548,64,1280,0.12311045825481415,0.03956850990653038,0.2692832350730896,64,1280,0.12511040270328522,0.034430041909217834,0.21523796021938324,64,1280,0.12409389019012451,0.045829713344573975,0.274091511964798,64,1280,0.1314803510904312,0.04400491714477539,0.26202628016471863
40,riemannian,8,4,0.8146395683288574,0.8375260829925537,0.125,2.0729174613952637,2.0729174613952637,64,2560,0.12291652709245682,0.04632354900240898,0.28205493092536926,64,2560,0.12488295137882233,0.057950202375650406,0.30115172266960144,64,2560,0.12137654423713684,0.04666610062122345,0.2660018801689148,64,2560,0.13163478672504425,0.04783900827169418,0.32765939831733704,64,2560,0.11886456608772278,0.05199003219604492,0.26190319657325745,64,2560,0.1283729374408722,0.0599653497338295,0.3166322708129883,64,2560,0.12659133970737457,0.04740919917821884,0.2924019396305084,64,2560,0.12536035478115082,0.04907664656639099,0.3148971498012543
60,riemannian,8,4,0.6469526886940002,0.793824315071106,0.125,2.0732545852661133,2.0732545852661133,64,3840,0.12396647781133652,0.06260241568088531,0.2964058220386505,64,3840,0.12351734936237335,0.04982766509056091,0.2693801820278168,64,3840,0.11932489275932312,0.0522364117205143,0.2446117252111435,64,3840,0.13219872117042542,0.05851437523961067,0.3060341477394104,64,3840,0.12133435159921646,0.056553758680820465,0.22047919034957886,64,3840,0.12702050805091858,0.05005435273051262,0.2769956588745117,64,3840,0.125508651137352,0.056974101811647415,0.2758345901966095,64,3840,0.12712904810905457,0.0624455101788044,0.3153829574584961
80,riemannian,8,4,0.7250874042510986,0.7575528621673584,0.125,2.072732448577881,2.072732448577881,64,5120,0.12412256002426147,0.06697205454111099,0.2619527578353882,64,5120,0.12175941467285156,0.06372766941785812,0.275363951921463,64,5120,0.11952180415391922,0.05024245008826256,0.24924296140670776,64,5120,0.13085918128490448,0.07100564986467361,0.35874852538108826,64,5120,0.12357494980096817,0.053598999977111816,0.21608857810497284,64,5120,0.12673187255859375,0.05136178806424141,0.305414617061615,64,5120,0.12459858506917953,0.06299435347318649,0.312534898519516,64,5120,0.1288316398859024,0.06343421339988708,0.2929142713546753
100,riemannian,8,4,0.675265371799469,0.7296191453933716,0.125,2.0721335411071777,2.0721335411071777,64,6400,0.128545880317688,0.08156000077724457,0.31103137135505676,64,6400,0.11938795447349548,0.06201783940196037,0.2689869701862335,64,6400,0.1212853491306305,0.07340241968631744,0.272102952003479,64,6400,0.13075491786003113,0.09363214671611786,0.33060818910598755,64,6400,0.1228315681219101,0.07289610803127289,0.26383763551712036,64,6400,0.12574946880340576,0.07910358160734177,0.30700811743736267,64,6400,0.1281498670578003,0.07989426702260971,0.3124507665634155,64,6400,0.12329499423503876,0.07017985731363297,0.27513259649276733
120,riemannian,8,4,0.8524137735366821,0.7046207189559937,0.125,2.0732905864715576,2.0732905864715576,64,7680,0.13166175782680511,0.10965552926063538,0.3793197274208069,64,7680,0.11943390965461731,0.0634802058339119,0.261886864900589,64,7680,0.1213841661810875,0.09758914262056351,0.3840126395225525,64,7680,0.1279543936252594,0.0497097373008728,0.3468160629272461,64,7680,0.1256319284439087,0.08791925758123398,0.3039480745792389,64,7680,0.12259431183338165,0.06732122600078583,0.33443397283554077,64,7680,0.12269458174705505,0.0910114198923111,0.340435266494751,64,7680,0.12864497303962708,0.1253500133752823,0.3717210292816162
140,riemannian,8,4,0.8097603917121887,0.6844742894172668,0.125,2.072930335998535,2.072930335998535,64,8960,0.12625856697559357,0.10091336816549301,0.33424627780914307,64,8960,0.12150466442108154,0.06924053281545639,0.2517029941082001,64,8960,0.12083352357149124,0.09010931104421616,0.33720508217811584,64,8960,0.13075512647628784,0.0769612267613411,0.3258582353591919,64,8960,0.12352952361106873,0.06439212709665298,0.2814728319644928,64,8960,0.12592563033103943,0.08129812031984329,0.299733430147171,64,8960,0.12600693106651306,0.07193127274513245,0.2762775719165802,64,8960,0.1251860409975052,0.10944440215826035,0.3050119876861572
160,riemannian,8,4,0.6048910617828369,0.6691335439682007,0.125,2.073096752166748,2.073096752166748,64,10240,0.12923145294189453,0.08518031984567642,0.26925310492515564,64,10240,0.1240251213312149,0.06766960024833679,0.24655163288116455,64,10240,0.12176263332366943,0.07272373139858246,0.23709706962108612,64,10240,0.12893617153167725,0.07602966576814651,0.28648287057876587,64,10240,0.12327627837657928,0.07723472267389297,0.2368793785572052,64,10240,0.12433191388845444,0.06483250856399536,0.24918903410434723,64,10240,0.12407954037189484,0.07788405567407608,0.25352710485458374,64,10240,0.12435688078403473,0.08093727380037308,0.23972606658935547
180,riemannian,8,4,0.6481654644012451,0.6551511287689209,0.125,2.0726447105407715,2.0726447105407715,64,11520,0.1272394359111786,0.07403299957513809,0.18527357280254364,64,11520,0.12449516355991364,0.07060136646032333,0.18955810368061066,64,11520,0.12042868137359619,0.07269541919231415,0.228390172123909,64,11520,0.13020563125610352,0.07670852541923523,0.22070790827274323,64,11520,0.11907050013542175,0.0669025182723999,0.1988232582807541,64,11520,0.12672139704227448,0.07496794313192368,0.23787666857242584,64,11520,0.12659473717212677,0.07191842794418335,0.2096487432718277,64,11520,0.12524442374706268,0.08683205395936966,0.1972048282623291
200,riemannian,8,4,0.6796996593475342,0.6449429988861084,0.125,2.071289539337158,2.071289539337158,64,12800,0.12920519709587097,0.0707511156797409,0.23948362469673157,64,12800,0.11941474676132202,0.06644374877214432,0.21654625236988068,64,12800,0.12211500853300095,0.06986900418996811,0.20569714903831482,64,12800,0.1302807331085205,0.06599685549736023,0.21865761280059814,64,12800,0.12120562791824341,0.06476859003305435,0.22538745403289795,64,12800,0.12208370864391327,0.0630425214767456,0.22408412396907806,64,12800,0.125067338347435,0.0666050836443901,0.2051319032907486,64,12800,0.13062764704227448,0.07527519017457962,0.23358359932899475
220,riemannian,8,4,0.4751834273338318,0.6376960277557373,0.125,2.071859359741211,2.07185959815979,64,14080,0.12606129050254822,0.053757164627313614,0.15936890244483948,64,14080,0.12297128140926361,0.07151667028665543,0.1785326898097992,64,14080,0.12037980556488037,0.03138566389679909,0.13504743576049805,64,14080,0.13086825609207153,0.043156903237104416,0.153300940990448,64,14080,0.12094240635633469,0.03924039006233215,0.14739038050174713,64,14080,0.12719765305519104,0.048717379570007324,0.1766066700220108,64,14080,0.12470033764839172,0.050875741988420486,0.163509801030159,64,14080,0.12687897682189941,0.05880610644817352,0.16503992676734924
240,riemannian,8,4,0.7258769869804382,0.6320030093193054,0.125,2.0718932151794434,2.0718932151794434,64,15360,0.12525548040866852,0.0725741982460022,0.1992097795009613,64,15360,0.12202868610620499,0.05781925842165947,0.2047373652458191,64,15360,0.1220429539680481,0.06269405037164688,0.20954829454421997,64,15360,0.13126711547374725,0.07391258329153061,0.213650643825531,64,15360,0.1197732537984848,0.06408275663852692,0.2390168309211731,64,15360,0.1231854036450386,0.0649927631020546,0.19382034242153168,64,15360,0.12771549820899963,0.07950743287801743,0.2237502485513687,64,15360,0.1287316083908081,0.07654165476560593,0.20561587810516357
260,riemannian,8,4,0.6677175760269165,0.6270779967308044,0.1249999925494194,2.069993019104004,2.069993019104004,64,16640,0.12712813913822174,0.0619346909224987,0.19054685533046722,64,16640,0.12231948971748352,0.0523345023393631,0.17557495832443237,64,16640,0.12077995389699936,0.0635315552353859,0.1722330003976822,64,16640,0.1305474042892456,0.057545386254787445,0.199507936835289,64,16640,0.12248708307743073,0.06081591546535492,0.18393956124782562,64,16640,0.1242719441652298,0.060922130942344666,0.18571414053440094,64,16640,0.1237545758485794,0.06735923886299133,0.18106554448604584,64,16640,0.12871137261390686,0.08681211620569229,0.1797432154417038
280,riemannian,8,4,0.6195042133331299,0.6221226453781128,0.125,2.0714783668518066,2.0714783668518066,64,17920,0.12688219547271729,0.05621083825826645,0.18553929030895233,64,17920,0.12207192182540894,0.061616841703653336,0.1855345070362091,64,17920,0.12008097767829895,0.042752765119075775,0.15922318398952484,64,17920,0.13176625967025757,0.07951491326093674,0.2063191682100296,64,17920,0.12148422002792358,0.056433167308568954,0.17998987436294556,64,17920,0.12578079104423523,0.07249618321657181,0.19079914689064026,64,17920,0.12427640706300735,0.06241179257631302,0.18256981670856476,64,17920,0.1276572346687317,0.05412852391600609,0.17846758663654327
300,riemannian,8,4,0.6787493228912354,0.6181243658065796,0.125,2.06984281539917,2.06984281539917,64,19200,0.1270306259393692,0.06688068807125092,0.18710574507713318,64,19200,0.12211018800735474,0.060214295983314514,0.18590879440307617,64,19200,0.12109706550836563,0.0629974827170372,0.18163339793682098,64,19200,0.1302434802055359,0.06162746250629425,0.1940702348947525,64,19200,0.12005368620157242,0.04901228845119476,0.19744864106178284,64,19200,0.1249983087182045,0.05114644765853882,0.1757323145866394,64,19200,0.12683437764644623,0.057936135679483414,0.15782248973846436,64,19200,0.1276322603225708,0.07020779699087143,0.19171679019927979
